key,template_x,itemname,value_type,description,application,discovery_rule,template_y,units
"system.cpu.load[percpu,avg15]","['Template OS Linux', 'Template OS Linux noswap', 'Template OS Linux APM', 'Template OS Linux_MySQL', 'Template OpenStack OS Linux', 'Template OS AIX', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS OpenBSD', 'Template OS Windows', 'Template OS Solaris', 'Template OS Mac OS X']",Processor load (15 min average per core),0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux,
"system.cpu.load[percpu,avg15]","['Template OS Linux', 'Template OS Linux noswap', 'Template OS Linux APM', 'Template OS Linux_MySQL', 'Template OpenStack OS Linux', 'Template OS AIX', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS OpenBSD', 'Template OS Windows', 'Template OS Solaris', 'Template OS Mac OS X']",Processor load (15 min average),0,,CPU,,Template OS Windows,
"system.cpu.util[,guest]","['Template OS Linux noswap', 'Template OS Linux APM', 'Template OS Linux_MySQL', 'Template OS Linux']",CPU guest time,0,The time spent running a virtual CPU for guest operating systems,CPU,,Template OS Linux noswap,%
system.cpu.switches,"['Template OS Linux noswap', 'Template OS Linux APM', 'Template OpenStack OS Linux', 'Template OS AIX', 'Template OS Linux', 'Template OS FreeBSD', 'Template OS Linux_MySQL', 'Template OS Solaris', 'Template OS OpenBSD']",Context switches per second,3,,CPU,,Template OS Linux noswap,sps
"system.cpu.load[percpu,avg5]","['Template OS Linux noswap', 'Template OS Linux APM', 'Template OS Linux_MySQL', 'Template OpenStack OS Linux', 'Template OS AIX', 'Template OS Linux', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS Solaris', 'Template OS Windows', 'Template OS OpenBSD', 'Template OS Mac OS X']",Processor load (5 min average per core),0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux noswap,
"system.cpu.load[percpu,avg5]","['Template OS Linux noswap', 'Template OS Linux APM', 'Template OS Linux_MySQL', 'Template OpenStack OS Linux', 'Template OS AIX', 'Template OS Linux', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS Solaris', 'Template OS Windows', 'Template OS OpenBSD', 'Template OS Mac OS X']",Processor load (5 min average),0,,CPU,,Template OS Windows,
"system.cpu.load[percpu,avg1]","['Template OS Linux noswap', 'Template OS Linux APM', 'Template OS Linux_MySQL', 'Template OpenStack OS Linux', 'Template OS AIX', 'Template OS Linux', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS Solaris', 'Template OS Windows', 'Template OS OpenBSD', 'Template OS Mac OS X']",Processor load (1 min average per core),0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux noswap,
"system.cpu.load[percpu,avg1]","['Template OS Linux noswap', 'Template OS Linux APM', 'Template OS Linux_MySQL', 'Template OpenStack OS Linux', 'Template OS AIX', 'Template OS Linux', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS Solaris', 'Template OS Windows', 'Template OS OpenBSD', 'Template OS Mac OS X']",Processor load (1 min average),0,,CPU,,Template OS Windows,
system.cpu.intr,"['Template OS Linux noswap', 'Template OS Linux APM', 'Template OS Linux_MySQL', 'Template OpenStack OS Linux', 'Template OS AIX', 'Template OS Linux', 'Template OS FreeBSD', 'Template OS Solaris', 'Template OS OpenBSD']",Interrupts per second,3,,CPU,,Template OS Linux noswap,ips
"system.cpu.util[,user]","['Template OS Linux APM', 'Template OS Linux', 'Template OS Linux noswap', 'Template OpenStack OS Linux', 'Template OS HP-UX', 'Template OS FreeBSD', 'Template OS Linux_MySQL', 'Template OS OpenBSD', 'Template OS Solaris']",CPU user time,0,The time the CPU has spent running users' processes that are not niced.,CPU,,Template OS Linux APM,%
